"65","2017-06-16 17:14:57.259864","1,246.00","New Gold Issuer (RP) Ltd"
"66","2017-06-16 20:19:16.061000","27.50","Eaagads Ltd Ord 1.25 AIMS"
"67","2017-06-16 20:19:16.206000","294.00","Kakuzi Ord.5.00"
"68","2017-06-16 20:19:16.333000","600.00","Limuru Tea Co. Ltd Ord 20.00"
"69","2017-06-16 20:19:16.518000","27.50","Rea Vipingo Plantations Ltd Ord 5.00"
"70","2017-06-16 20:19:16.653000","25.75","Sasini Ltd Ord 1.00"
"71","2017-06-16 20:19:16.792000","190.00","Williamson Tea Kenya Ltd Ord 5.00"
"72","2017-06-16 20:19:16.941000","20.00","Car and General (K) Ltd Ord 5.00"
"73","2017-06-16 20:19:17.069000","11.80","Marshalls (E.A.) Ltd Ord 5.00"
"74","2017-06-16 20:19:17.231000","2.65","Sameer Africa Ltd Ord 5.00"
"75","2017-06-16 20:19:17.357000","9.60","Barclays Bank Ltd Ord 0.50"
"76","2017-06-16 20:19:17.497000","71.50","CFC Stanbic Holdings Ltd ord.5.00"
"77","2017-06-16 20:19:17.633000","152.00","Diamond Trust Bank Kenya Ltd Ord 4.00"
"78","2017-06-16 20:19:17.750000","39.00","Equity Group Holdings Ord 0.50"
"79","2017-06-16 20:19:17.887000","10.35","HF Group Ltd Ord 5.00"
"80","2017-06-16 20:19:18.088000","101.00","I&M; Holdings Ltd Ord 1.00"
"81","2017-06-16 20:19:18.243000","37.00","KCB Group Ltd Ord 1.00"
"82","2017-06-16 20:19:18.359000","9.85","National Bank of Kenya Ltd Ord 5.00"
"83","2017-06-16 20:19:18.507000","33.50","NIC Bank Ltd 0rd 5.00"
"84","2017-06-16 20:19:18.658000","207.00","Standard Chartered Bank Ltd Ord 5.00"
"85","2017-06-16 20:19:18.840000","17.20","The Co-operative Bank of Kenya Ltd Ord 1.00"
"86","2017-06-16 20:19:19.010000","1.05","Atlas Development and Support Services"
"87","2017-06-16 20:19:19.149000","3.25","Express Ltd Ord 5.00"
"88","2017-06-16 20:19:19.310000","20.25","Hutchings Biemer Ltd Ord 5.00"
"89","2017-06-16 20:19:19.448000","5.70","Kenya Airways Ltd Ord 5.00"
"90","2017-06-16 20:19:19.586000","5.30","Longhorn Publishers Ltd"
"91","2017-06-16 20:19:19.738000","105.00","Nation Media Group Ord. 2.50"
"92","2017-06-16 20:19:19.908000","18.70","Scangroup  Ltd Ord 1.00"
"93","2017-06-16 20:19:20.113000","36.50","Standard Group  Ltd Ord 5.00"
"94","2017-06-16 20:19:20.258000","25.50","TPS Eastern Africa (Serena) Ltd Ord 1.00"
"95","2017-06-16 20:19:20.400000","2.20","Uchumi Supermarket Ltd Ord 5.00"
"96","2017-06-16 20:19:20.538000","21.00","Athi River Mining Ord 5.00"
"97","2017-06-16 20:19:20.699000","167.00","Bamburi Cement Ltd Ord 5.00"
"98","2017-06-16 20:19:20.869000","57.00","Crown Berger Ltd 0rd 5.00"
